mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vlsseg7e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg7e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg8e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg8e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg8e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg8e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b001,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b001,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b001,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg2e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b001,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e16.v,Segment unit-stride,Zve32x/Zve64x base,16,0b101,0b00,0b010,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e32.v,Segment unit-stride,Zve32x/Zve64x base,32,0b110,0b00,0b010,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e64.v,Segment unit-stride,Zve32x/Zve64x base,64,0b111,0b00,0b010,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlseg3e8.v,Segment unit-stride,Zve32x/Zve64x base,8,0b000,0b00,0b010,0b00000,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
